title,author,age_range,themes,tone,lexile_score,description
Charlotte's Web,E.B. White,6-8,"friendship, adventure",gentle,,A wonderful children's book about charlotte's web.
The Very Hungry Caterpillar,Eric Carle,6-8,"friendship, adventure",gentle,,A wonderful children's book about the very hungry caterpillar.
Where the Wild Things Are,Maurice Sendak,6-8,"friendship, adventure",gentle,,A wonderful children's book about where the wild things are.
Green Eggs and Ham,Dr. Seuss,6-8,"friendship, adventure",gentle,,A wonderful children's book about green eggs and ham.
Wonder,R.J. Palacio,6-8,"friendship, adventure",gentle,,A wonderful children's book about wonder.
The Cat in the Hat,Dr. Seuss,6-8,"friendship, adventure",gentle,,A wonderful children's book about the cat in the hat.
Goodnight Moon,Margaret Wise Brown,6-8,"friendship, adventure",gentle,,A wonderful children's book about goodnight moon.
The Giving Tree,Shel Silverstein,6-8,"friendship, adventure",gentle,,A wonderful children's book about the giving tree.
Matilda,Roald Dahl,6-8,"friendship, adventure",gentle,,A wonderful children's book about matilda.
Diary of a Wimpy Kid,Jeff Kinney,6-8,"friendship, adventure",gentle,,A wonderful children's book about diary of a wimpy kid.
Harry Potter and the Sorcerer's Stone,J.K. Rowling,6-8,"friendship, adventure",gentle,,A wonderful children's book about harry potter and the sorcerer's stone.
"The Lion, the Witch and the Wardrobe",C.S. Lewis,6-8,"friendship, adventure",gentle,,"A wonderful children's book about the lion, the witch and the wardrobe."
A Wrinkle in Time,Madeleine L'Engle,6-8,"friendship, adventure",gentle,,A wonderful children's book about a wrinkle in time.
Bridge to Terabithia,Katherine Paterson,6-8,"friendship, adventure",gentle,,A wonderful children's book about bridge to terabithia.
The Secret Garden,Frances Hodgson Burnett,6-8,"friendship, adventure",gentle,,A wonderful children's book about the secret garden.
